상호명,도로명주소,업종,전화번호,링크,별점
공감 홍대2호점,일본식주점,서울 마포구 와우산로17길 10 2층,02-336-1675,https://place.map.kakao.com/1080030680,3.3
부산집,일본식주점,서울 마포구 와우산로38길 4,,https://place.map.kakao.com/959157742,4.4
바코포차,실내포장마차,서울 마포구 독막로3길 35 1층,,https://place.map.kakao.com/1067077866,4.1
배터리88,"호프,요리주점",서울 마포구 와우산로19길 6,,https://place.map.kakao.com/1570928971,2.7
엑스엑스,"호프,요리주점",서울 마포구 독막로 67-10,02-6015-9170,https://place.map.kakao.com/417555653,4.8
홈프롬귀,"호프,요리주점",서울 마포구 와우산로7길 5,010-2676-0812,https://place.map.kakao.com/1630693003,4.3
별헤는잔 삼거리점,칵테일바,서울 마포구 와우산로 64 3층,010-5553-5554,https://place.map.kakao.com/599505951,4.4
한남동그집 홍대점,"호프,요리주점",서울 마포구 어울마당로5길 7 2층,02-336-5807,https://place.map.kakao.com/2142078296,0.0
깊은숲,"호프,요리주점",서울 마포구 독막로 27 지하1층,0507-1410-6865,https://place.map.kakao.com/735318451,4.1
무명집,"호프,요리주점",서울 마포구 와우산로 30 2층,02-323-2016,https://place.map.kakao.com/14103027,3.8
훼미리포차 홍대점,실내포장마차,서울 마포구 어울마당로 55 2층,02-3144-2080,https://place.map.kakao.com/1081323755,3.0
찰리주막,"호프,요리주점",서울 마포구 어울마당로 60 3층,,https://place.map.kakao.com/26848933,4.5
당인리극장,술집,서울 마포구 양화로6길 21 2층,010-6602-0219,https://place.map.kakao.com/13050578,3.0
제이케이펍,"호프,요리주점",서울 마포구 어울마당로5길 46 2층,,https://place.map.kakao.com/1647654736,3.2
감성호프탭탭 홍대점,"호프,요리주점",서울 마포구 와우산로21길 19-16 NS타워 1층,02-333-8310,https://place.map.kakao.com/996054950,3.0
