Place_name,Score,review,Link,Addr,Lat,Lng,Phone,Subcategory
광고홍대파스타리코,4.1,307,https://place.map.kakao.com/733953859,서울 마포구 홍익로5안길 32 준빌라,37.5534832246145,126.92111130505,02-3144-0808,양식
광고제주정원,4.2,32,https://place.map.kakao.com/26412030,서울 마포구 동교로17길 8,37.5555004730628,126.916277353035,02-336-3392,"육류,고기"
광고조선화로구이,4.3,23,https://place.map.kakao.com/8520131,서울 마포구 월드컵북로 5,37.5555473235667,126.920847472108,02-3143-1300,"육류,고기"
진짜파스타,4.7,84,https://place.map.kakao.com/1591202287,서울 마포구 와우산로 64 전원빌딩 2층 202호,37.5502199719304,126.923271338076,02-322-1518,이탈리안
감성타코 홍대점,3.2,135,https://place.map.kakao.com/892514586,서울 마포구 와우산로21길 20-11 2층,37.5528042865018,126.922691072426,02-337-8883,"멕시칸,브라질"
피오니 홍대점,3.8,369,https://place.map.kakao.com/26235884,서울 마포구 독막로7길 51 1층,37.5500851944722,126.919764712297,02-333-5325,카페
우와 홍대본점,3.5,110,https://place.map.kakao.com/400281849,서울 마포구 와우산로21길 21-16 202호,37.5516839142411,126.922170866363,,철판요리
칸다소바 홍대점,4.1,120,https://place.map.kakao.com/2057792795,서울 마포구 와우산로 51-6,37.5492846251393,126.922687465257,02-332-1660,일본식라면
여우골 홍대점,4.0,123,https://place.map.kakao.com/27253757,서울 마포구 와우산로19길 9,37.5511310178553,126.922652400213,02-325-8717,"초밥,롤"
또보겠지떡볶이 해피토스점,3.9,93,https://place.map.kakao.com/1463316899,서울 마포구 잔다리로6길 34-5 2층,37.5521064426225,126.921160400094,010-5699-8907,떡볶이
정돈,4.5,109,https://place.map.kakao.com/90725902,서울 마포구 어울마당로 46 1층,37.5490650132805,126.920995781889,02-336-0923,"돈까스,우동"
943킹스크로스,3.6,315,https://place.map.kakao.com/53292857,서울 마포구 양화로16길 24,37.5529886454513,126.920810003015,02-3144-2112,카페
하카타분코,3.0,183,https://place.map.kakao.com/21410206,서울 마포구 독막로19길 43 1층,37.5489170939315,126.92377466672,,일본식라면
테이스티버거,3.7,316,https://place.map.kakao.com/1737612851,서울 마포구 독막로 67-11 행운빌딩 1층,37.5482502235465,126.920701853672,02-336-3034,햄버거
마녀주방 홍대점,4.2,179,https://place.map.kakao.com/1736742094,"서울 마포구 와우산로21길 36-10 1, 2층",37.5528622055245,126.922119620183,,양식
오츠에스프레소,4.4,262,https://place.map.kakao.com/26485620,서울 마포구 독막로14길 32 지하 1층,37.5473162154361,126.922690177234,,커피전문점
김덕후의곱창조 홍대본점,2.8,54,https://place.map.kakao.com/20044268,"서울 마포구 와우산로 51-9 1층,2층",37.5492206987233,126.922480441316,,"곱창,막창"
테일러커피 서교점,4.3,114,https://place.map.kakao.com/27248379,서울 마포구 와우산로27길 7 2층,37.5538328517557,126.927645084291,02-334-0355,커피전문점
지로우라멘,4.1,131,https://place.map.kakao.com/23734945,서울 마포구 와우산로29가길 79,37.5536976924717,126.9251720959,,일본식라면
맛이차이나,3.5,120,https://place.map.kakao.com/19032013,서울 마포구 독막로 68 2층,37.5475998077326,126.920858592344,02-322-2653,중화요리
미즈컨테이너 서교점,4.2,120,https://place.map.kakao.com/20231062,서울 마포구 와우산로18길 32,37.551611898175,126.924067742266,,이탈리안
톤앤매너,4.4,26,https://place.map.kakao.com/1960387368,서울 마포구 와우산로29가길 13 1층,37.5542683101067,126.928691952837,02-332-8252,카페
가미우동,4.4,153,https://place.map.kakao.com/13337463,서울 마포구 홍익로2길 23,37.5546816426921,126.923857862163,02-322-3302,"돈까스,우동"
랑데자뷰 상수점,3.3,685,https://place.map.kakao.com/1902772928,서울 마포구 와우산로13길 49,37.5484577443971,126.920867304116,070-4255-5656,디저트카페
공감 홍대2호점,3.3,28,https://place.map.kakao.com/1080030680,서울 마포구 와우산로17길 10 2층,37.550320825368,126.922492202834,02-336-1675,일본식주점
혼가츠,2.8,261,https://place.map.kakao.com/22895023,서울 마포구 와우산로21길 36-6 102호,37.5526404268708,126.922054326061,02-322-8850,"돈까스,우동"
버터밀크,3.9,115,https://place.map.kakao.com/26966117,서울 마포구 와우산로 130 1층,37.5533783294755,126.927990692848,,카페
또보겠지떡볶이집 깐따삐아점,3.7,136,https://place.map.kakao.com/895272833,서울 마포구 와우산로21길 28-12,37.5528099161396,126.922482495511,0507-1394-8645,떡볶이
라멘트럭 상수점,3.6,56,https://place.map.kakao.com/1859634829,서울 마포구 독막로14길 31 1층,37.5475004120123,126.922602173821,02-336-8456,일본식라면
윤씨밀방,3.8,239,https://place.map.kakao.com/13113825,서울 마포구 와우산로15길 15 지하1층,37.5496541997369,126.922390026529,02-3143-4116,양식
비스트로주라,4.3,166,https://place.map.kakao.com/27272711,서울 마포구 와우산로23길 18-7 1층,37.5540010720065,126.924626873497,,양식
은행골 홍대점,3.2,91,https://place.map.kakao.com/27281186,서울 마포구 와우산로15길 34,37.5491805908911,126.92150546307,02-2637-4988,"초밥,롤"
프리모바치오바치 홍대본점,3.5,195,https://place.map.kakao.com/8123221,"서울 마포구 와우산로23길 44 2,3층",37.5491805908911,126.92150546307,02-323-0098,이탈리안
