Place_name,Score,review,Link,Addr,Lat,Lng,Phone,Subcategory
라이즈오토그래프컬렉션,4.4,346,https://place.map.kakao.com/1310053611,서울 마포구 양화로 130,37.5543349117636,126.921207395382,02-330-7700,호텔
아만티호텔서울,3.5,88,https://place.map.kakao.com/1719950135,서울 마포구 월드컵북로 31,37.5571360373851,126.91870416442,02-334-3111,호텔
L7 홍대,3.8,194,https://place.map.kakao.com/43179481,서울 마포구 양화로 141,37.5557534793508,126.921669461673,02-2289-1000,호텔
나인브릭호텔,3.6,85,https://place.map.kakao.com/269921264,서울 마포구 홍익로5길 32 1층,37.5537822641849,126.920571391398,02-3141-8800,호텔
홀리데이인익스프레스서울홍대,3.6,153,https://place.map.kakao.com/1503578811,서울 마포구 양화로 188 애경타워 숙박시설동,37.5577458058734,126.926498328277,02-768-3000,호텔
머큐어 앰배서더 서울 홍대,4.0,74,https://place.map.kakao.com/106952975,서울 마포구 양화로 144,37.5553436435547,126.922393972623,02-3774-1101,특급호텔
메리골드호텔,2.6,47,https://place.map.kakao.com/19153987,서울 마포구 양화로 112,37.5533161702151,126.919760230052,02-332-5656,호텔
호텔더디자이너스 홍대,1.9,44,https://place.map.kakao.com/18618217,서울 마포구 양화로 86,37.5519076070635,126.917618565024,02-326-5801,호텔
보보호텔,3.0,3,https://place.map.kakao.com/7900726,서울 마포구 양화로 94,37.5523262543067,126.918199677699,02-324-0021,호텔
나비호스텔,4.3,2,https://place.map.kakao.com/1864266633,서울 마포구 양화로 177-1,37.5579849864464,126.924728002367,02-3142-8889,숙박
호텔디오레,2.7,3,https://place.map.kakao.com/835579462,서울 마포구 동교로 162-7,37.5555594384047,126.920373149155,02-332-2333,"여관,모텔"
코코아게스트하우스,4.3,3,https://place.map.kakao.com/684138688,서울 마포구 와우산로17길 19-9,37.5497882345776,126.921792717037,0503-5051-6224,게스트하우스
준게스트하우스,5.0,18,https://place.map.kakao.com/27510640,서울 마포구 와우산로29나길 24-3,37.554420424205,126.927550130954,02-325-0325,게스트하우스
호텔야자 홍대점,1.0,0,https://place.map.kakao.com/22313528,서울 마포구 잔다리로 67,37.5535966379021,126.916876231066,02-3143-4595,호텔
마마스앤파파스 게스트하우스,1.7,0,https://place.map.kakao.com/22484094,서울 마포구 어울마당로 47 5층,37.5494642492429,126.92059815387,02-323-8280,게스트하우스
니트하우스,0.0,4,https://place.map.kakao.com/494757479,서울 마포구 양화로15안길 7,37.5542791797792,126.919002532481,02-333-3815,게스트하우스
DW디자인레지던스,0.0,2,https://place.map.kakao.com/19705793,서울 마포구 동교로25길 35,37.5584022265547,126.920584030172,02-325-6400,게스트하우스
니도나도모텔,0.0,0,https://place.map.kakao.com/1391685185,서울 마포구 홍익로 29,37.5546382127856,126.921787422622,,"여관,모텔"
롬바드하우스,1.0,3,https://place.map.kakao.com/26406310,서울 마포구 동교로16길 17 4층,37.5542052289719,126.915812535684,02-334-0610,게스트하우스
미성장모텔,1.0,0,https://place.map.kakao.com/15974449,서울 마포구 양화로19길 20,37.5584145027776,126.924041825884,02-325-8265,"여관,모텔"
해피트리 게스트하우스,0.0,0,https://place.map.kakao.com/22874447,서울 마포구 와우산로29다길 15,37.5547888194553,126.927660117343,010-3888-8533,게스트하우스
24게스트하우스 신촌점,2.3,2,https://place.map.kakao.com/19416691,서울 마포구 신촌로18길 9,37.5549954517781,126.935162925079,02-334-0900,게스트하우스
버틀러리 폴백점,2.0,11,https://place.map.kakao.com/1585573374,서울 마포구 연희로1길 40-8,37.5604640872405,126.926167433366,02-2236-6633,게스트하우스
하이준게스트하우스&카페,4.5,12,https://place.map.kakao.com/275972786,"서울 마포구 동교로 105 1,2층",37.5604640872405,126.926167433366,02-3144-3946,게스트하우스
이노게스트하우스,2.5,1,https://place.map.kakao.com/26437040,서울 마포구 월드컵로8길 37-7,37.553694330766,126.91426470921,070-7543-8225,게스트하우스
NEO SEOUL GUESTHOUSE,0.0,3,https://place.map.kakao.com/26575553,서울 마포구 동교로 142-13,37.5546507428019,126.918206190784,02-323-9220,게스트하우스
동경모텔,1.0,0,https://place.map.kakao.com/11753624,서울 마포구 홍익로5안길 34,37.5533892809499,126.921021999602,,"여관,모텔"
드림하우스 게스트하우스,5.0,2,https://place.map.kakao.com/19825977,서울 마포구 잔다리로 78,37.5545222777459,126.916429418726,02-336-7118,게스트하우스
벙크게스트하우스,0.0,5,https://place.map.kakao.com/545102666,서울 마포구 와우산로29라길 19-1,37.5549074258628,126.927131147514,070-8703-0045,게스트하우스
홍대스타일게스트하우스,5.0,3,https://place.map.kakao.com/267978266,서울 마포구 월드컵북로4길 23-3,37.5574956813888,126.920774789157,070-7787-1880,게스트하우스
딸기핑크게스트하우스,0.0,0,https://place.map.kakao.com/27109856,서울 마포구 동교로30길 22 삼성하이빌 201호,37.5600483800933,126.924901921995,010-3517-4265,게스트하우스
서울파티룸위즐,4.0,0,https://place.map.kakao.com/27278136,서울 마포구 홍익로5안길 20 5층,37.5537968934286,126.92156433678,,숙박
문호스텔,0.0,2,https://place.map.kakao.com/22853777,서울 마포구 동교로30길 9,37.560513878337,126.924828453037,,게스트하우스
버틀러리 제이엘,5.0,2,https://place.map.kakao.com/1084077547,서울 마포구 동교로 217,37.5594957301384,126.923531647095,,게스트하우스
올빛 게스트하우스,5.0,0,https://place.map.kakao.com/2144442782,서울 마포구 동교로 220-6,37.5595725450319,126.924027747837,,게스트하우스
